year,"disaster type","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
2011,Landslide,PHL,Philippines,3,29,870,19,0,889,0
2011,"Miscellaneous accident",IDN,Indonesia,1,48,0,39,0,39,0
2011,"Miscellaneous accident",MMR,Myanmar,1,15,0,65,0,65,0
2011,"Miscellaneous accident",PHL,Philippines,3,13,0,17,30000,30017,701
2011,Storm,PHL,Philippines,12,1782,9462385,6291,0,9468676,527238
2011,Storm,THA,Thailand,1,18,1000000,0,0,1000000,0
2011,Storm,VNM,"Viet Nam",2,16,0,63,0,63,0
2011,"Transport accident",IDN,Indonesia,9,359,614,200,0,814,0
2011,"Transport accident",PHL,Philippines,2,40,1,20,0,21,0
2011,"Transport accident",THA,Thailand,1,12,0,4,0,4,0
2011,"Transport accident",VNM,"Viet Nam",2,28,27,0,0,27,0
2011,"Volcanic activity",IDN,Indonesia,2,3,2368,5,6000,8373,0
2011,"Volcanic activity",PHL,Philippines,2,0,33931,0,0,33931,0
2012,Earthquake,IDN,Indonesia,4,13,5820,151,2355,8326,0
2012,Earthquake,MMR,Myanmar,1,38,1255,231,0,1486,1170
2012,Earthquake,PHL,Philippines,3,114,353034,123,0,353157,12144
2012,Epidemic,PHL,Philippines,1,30,3158,0,0,3158,0
2012,Flood,KHM,Cambodia,1,14,71500,0,0,71500,0
2012,Flood,IDN,Indonesia,7,41,32295,25,1000,33320,0
2012,Flood,MMR,Myanmar,1,2,85000,0,0,85000,0
2012,Flood,PHL,Philippines,8,157,4578850,16,35762,4614628,75330
2012,Flood,THA,Thailand,1,0,235545,0,0,235545,0
2012,Flood,VNM,"Viet Nam",1,34,0,40,17500,17540,30000
2012,"Industrial accident",THA,Thailand,1,12,0,129,0,129,0
2012,Landslide,IDN,Indonesia,2,32,115,100,0,215,0
2012,Landslide,PHL,Philippines,1,75,7,16,0,23,0
2012,"Miscellaneous accident",PHL,Philippines,1,18,0,3,0,3,0
2012,Storm,IDN,Indonesia,2,21,10000,60,490,10550,1000
2012,Storm,PHL,Philippines,9,2039,7557756,2724,0,7560480,918137
2012,Storm,VNM,"Viet Nam",3,38,59320,107,279545,338972,342800
2012,"Transport accident",IDN,Indonesia,6,188,219,0,0,219,0
2012,"Transport accident",PHL,Philippines,1,24,0,0,0,0,0
