occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 US$)
Philippines,2006,PHL,Miscellaneous accident,3,97,0,443,11200,976
Philippines,2006,PHL,Storm,10,1805,7819149,2659,0,330921
Philippines,2006,PHL,Volcanic activity,1,0,43849,0,0,0
Philippines,2007,PHL,Drought,1,0,0,0,0,0
Philippines,2007,PHL,Flood,5,40,86747,0,0,6600
Philippines,2007,PHL,Miscellaneous accident,1,0,0,0,13997,0
Philippines,2007,PHL,Storm,9,89,1922285,24,0,10215
Philippines,2007,PHL,Transport accident,2,66,124,30,0,0
Philippines,2007,PHL,Volcanic activity,1,0,14036,0,0,0
Philippines,2008,PHL,Flood,8,116,1552848,41,50000,39577
Philippines,2008,PHL,Landslide,1,24,5000,28,0,0
Philippines,2008,PHL,Miscellaneous accident,1,1,0,3,5000,0
Philippines,2008,PHL,Storm,11,819,6846388,946,4645,441625
Philippines,2008,PHL,Transport accident,3,913,171,0,0,0
Philippines,2009,PHL,Earthquake,1,0,380,2,10,90
Philippines,2009,PHL,Flood,8,55,1083261,15,0,29314
Philippines,2009,PHL,Landslide,1,10,0,16,0,0
Philippines,2009,PHL,Storm,14,1242,12220696,867,100,932703
Philippines,2009,PHL,Transport accident,4,99,957,0,0,0
Philippines,2009,PHL,Volcanic activity,1,0,47137,0,0,0
Philippines,2010,PHL,Epidemic,1,737,0,123939,0,0
Philippines,2010,PHL,Flood,9,162,2846913,22,0,50589
Philippines,2010,PHL,Landslide,1,2,925,2,0,78
Philippines,2010,PHL,Miscellaneous accident,2,15,0,0,2000,0
Philippines,2010,PHL,Storm,3,212,2595412,133,0,284420
Philippines,2010,PHL,Transport accident,4,77,14,20,0,0
Philippines,2010,PHL,Volcanic activity,1,0,14161,0,0,0
Philippines,2011,PHL,Earthquake,1,0,25,3,0,0
Philippines,2011,PHL,Epidemic,3,56,7395,200,0,0
Philippines,2011,PHL,Flood,15,122,2218638,190,0,202787
Philippines,2011,PHL,Landslide,3,29,870,19,0,0
Philippines,2011,PHL,Miscellaneous accident,3,13,0,17,30000,701
Philippines,2011,PHL,Storm,12,1782,9462385,6291,0,527238
Philippines,2011,PHL,Transport accident,2,40,1,20,0,0
Philippines,2011,PHL,Volcanic activity,2,0,33931,0,0,0
Philippines,2012,PHL,Earthquake,3,114,353034,123,0,12144
Philippines,2012,PHL,Epidemic,1,30,3158,0,0,0
Philippines,2012,PHL,Flood,8,157,4578850,16,35762,75330
Philippines,2012,PHL,Landslide,1,75,7,16,0,0
Philippines,2012,PHL,Miscellaneous accident,1,18,0,3,0,0
Philippines,2012,PHL,Storm,9,2039,7557756,2724,0,918137
Philippines,2012,PHL,Transport accident,1,24,0,0,0,0
Philippines,2013,PHL,Earthquake,1,230,3221248,976,0,51459
Philippines,2013,PHL,Flood,5,105,4500279,59,0,2234788
Philippines,2013,PHL,Storm,8,7415,17915713,28858,0,10136563
Philippines,2013,PHL,Transport accident,2,159,629,20,0,0
Philippines,2014,PHL,Flood,3,5,145130,0,0,0
Philippines,2014,PHL,Miscellaneous accident,1,2,0,599,0,0
Philippines,2014,PHL,Storm,9,326,13066714,2269,0,1062899
Philippines,2014,PHL,Transport accident,1,0,14,0,0,0
Philippines,2014,PHL,Volcanic activity,1,0,60545,0,0,0
Singapore,2000,SGP,Epidemic,1,2,2022,0,0,0
Singapore,2003,SGP,Epidemic,1,33,205,0,0,0
Thailand,2000,THA,Epidemic,1,89,1946,0,0,0
Thailand,2000,THA,Flood,4,107,3323231,570,0,109056
Thailand,2000,THA,Industrial accident,1,1,200,194,0,0
Thailand,2000,THA,Miscellaneous accident,1,0,0,0,800,3517
Thailand,2000,THA,Storm,1,2,41219,0,0,0
Thailand,2000,THA,Transport accident,5,105,0,112,0,0
Thailand,2001,THA,Flood,6,222,465510,139,4730,28500
Thailand,2001,THA,Industrial accident,1,11,0,26,0,0
